#steps	1480522483	time	4e+08	seed	1685634825
#type 1~vac, 2~sia, 3~fia, 4~vac_fia, 5~sia_fia
#no direction~0;	111~1;	-111~2;	1 - 11~3;	11 - 1~4
#id	type	x	y	z	size1	size2	dir
22205698	1	47.6545	47.1458	63.9326	1515	0	0
22205791	1	16.7375	46.59	31.0245	1403	0	0
22205803	1	0.305188	47.2618	47.0597	1572	0	0
22205806	1	24.0646	23.319	39.276	1395	0	0
22205810	1	0.34947	47.4094	30.8963	1675	0	0
22205811	1	16.5257	63.835	46.5151	1261	0	0
22205812	1	55.9362	39.3297	55.5307	1493	0	0
22205813	1	48.1773	46.9024	31.5049	1409	0	0
22205814	1	55.4692	39.7639	39.5863	1324	0	0
22205829	1	16.6497	47.1989	47.8733	1473	0	0
22205833	1	40.4507	54.9872	39.8254	1466	0	0
22205837	1	0.543889	47.0438	63.6998	1281	0	0
22205841	1	32.1513	47.0698	47.7919	1469	0	0
22205844	1	15.9267	31.3988	47.2384	1175	0	0
22205845	1	8.36098	38.9773	38.9243	1323	0	0
22205846	1	8.45181	40.0737	55.7405	1217	0	0
22205847	1	24.2135	39.3935	39.2724	1350	0	0
22205914	1	8.26087	55.1526	6.0668	1240	0	0
22205918	1	24.644	7.40824	55.4056	1265	0	0
22205937	1	8.11854	23.0341	55.5939	1414	0	0
22205948	1	48.0295	63.3017	47.2484	1422	0	0
22205949	1	55.7314	23.4993	55.2014	1443	0	0
22205952	1	48.1899	14.9191	63.5048	1393	0	0
22205953	1	55.3836	7.15397	54.9847	1213	0	0
22205957	1	16.0064	47.1401	63.6948	1605	0	0
22205958	1	55.616	54.8876	6.77887	1374	0	0
22205972	1	0.376317	63.348	46.8683	1557	0	0
22205983	1	8.44356	54.9884	55.5897	1634	0	0
22205986	1	8.08917	7.62338	55.0881	1319	0	0
22205987	1	16.6018	15.5769	47.8093	1281	0	0
22205988	1	0.39681	63.0856	63.4348	1639	0	0
22205989	1	0.261635	15.5436	47.2118	1303	0	0
22205990	1	0.969324	44.8253	8.85276	1	0	0
22205991	1	62.0836	41.3785	5.93644	1	0	0
22205992	1	0.485277	42.3306	9.37774	1	0	0
22205993	1	60.5396	40.2144	4.2061	1	0	0
22205996	1	2.04653	37.9278	6.04656	1	0	0
22205997	1	1.33147	37.7261	5.37905	1	0	0
22205998	1	2.37709	35.1921	4.2773	1	0	0
22205999	1	61.2294	37.15	7.38172	1	0	0
22206000	1	62.4601	35.4829	5.81982	1	0	0
22206002	1	61.0871	36.9379	9.09268	1	0	0
22206003	1	0.242663	35.1031	7.58691	3	0	0
22206004	1	60.187	35.8693	8.88532	1	0	0
22206005	1	59.3152	34.252	6.57168	1	0	0
22206006	1	60.8165	34.7614	7.05123	1	0	0
22206007	1	62.1611	33.8551	5.88464	1	0	0
22206008	1	60.0019	35.0024	9.34547	1	0	0
22206009	1	60.6314	33.8945	7.51138	1	0	0
22206011	1	2.83911	30.6061	6.66228	1	0	0
22206012	1	58.8883	33.6156	11.7045	1	0	0
22206013	1	56.8002	34.8689	14.3099	1	0	0
22206014	1	1.15277	29.2298	6.64289	1	0	0
22206016	1	19.5333	24.4285	9.32554	1	0	0
22206017	1	19.9921	23.6572	11.3087	1	0	0
22206018	1	14.7021	21.8213	10.058	1	0	0
22206019	1	22.4394	22.0752	13.6482	1	0	0
22206020	1	20.4082	22.2311	12.041	1	0	0
22206021	1	17.3773	21.761	13.1882	1	0	0
22206022	1	19.8994	20.9726	12.7172	3	0	0
22206024	1	21.4538	19.697	10.9393	1	0	0
22206026	1	5.07902	18.1207	3.55149	1	0	0
22206027	1	12.0873	19.9251	11.9375	1	0	0
22206028	1	5.72292	18.2163	5.07448	1	0	0
22206030	1	14.2181	19.3266	10.583	1	0	0
22206032	1	17.5084	16.9549	8.52201	1	0	0
22206034	1	4.70889	16.3868	4.4718	1	0	0
22206037	1	45.4401	20.3042	3.97978	1	0	0
22206039	1	48.9299	20.003	4.81573	1	0	0
22206042	1	23.6877	17.7969	15.8452	1	0	0
22206043	1	48.7875	19.7908	6.52668	1	0	0
22206044	1	48.702	18.4813	4.02508	1	0	0
22206045	1	55.1745	16.964	5.39563	2	0	0
22206047	1	4.38151	15.3078	6.6429	1	0	0
22206048	1	3.73761	15.2122	5.11992	1	0	0
22206049	1	4.40991	14.7591	4.53662	1	0	0
22206051	1	3.55254	14.3453	5.58007	1	0	0
22206054	1	53.1662	15.5399	4.61475	1	0	0
22206055	1	1.22231	12.8734	4.03769	1	0	0
22206056	2	59.9103	44.278	14.8606	1	0	2
22206058	2	1.2587	21.1576	4.48481	1	0	1
22206061	2	7.46955	17.6361	10.1036	1	0	4
22206063	2	57.0929	44.1262	13.4414	1	0	1
22206067	2	58.1592	35.1662	16.5004	1	0	4
22206068	2	8.91881	31.8907	16.9472	1	0	3
22206069	2	9.22097	29.7037	17.2843	1	0	4
22206070	2	58.538	16.5886	55.3243	1	0	2
22206071	2	52.7645	18.1695	7.23949	1	0	3
22206072	2	59.3803	44.9433	13.733	1	0	4
22206074	2	2.15882	22.2262	4.69217	1	0	3
22206079	2	3.70633	22.5314	15.6448	1	0	1
22206082	2	2.64605	20.9062	4.56903	1	0	2
22206086	2	58.8529	35.8823	60.3663	1	0	4
22206088	2	57.9955	35.4685	61.4097	1	0	4
22206089	2	17.2394	31.2409	8.23028	1	0	3
22206093	2	4.98427	31.211	8.66481	1	0	4
22206094	2	5.51425	30.5458	9.79247	1	0	4
22206095	2	1.83144	21.1472	6.86328	1	0	3
