!	1	418													
#	Size1	Size2	Fmig	Emig	Femit1	Eemig1	Eb1	Femit2	Eemig2	Eb2	Frotate	Erotate	Ftm	Etm	R
#unit	n	n	(s-1)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(s-1)	(eV)	a0
	0	44	6.00E+10	0.46	6.00E+12	0	10	6.00E+12	0.01	3.243115196	6.00E+12	10	6.00E+12	-4	1.67E+00
	0	45	6.00E+10	0.47	6.00E+12	0	10	6.00E+12	0.01	3.258473146	6.00E+12	10	6.00E+12	-4	1.68E+00
	0	46	6.00E+10	0.48	6.00E+12	0	10	6.00E+12	0.01	3.27349353	6.00E+12	10	6.00E+12	-4	1.69E+00
	0	47	6.00E+10	0.49	6.00E+12	0	10	6.00E+12	0.01	3.288190871	6.00E+12	10	6.00E+12	-4	1.70E+00
	0	48	6.00E+10	0.5	6.00E+12	0	10	6.00E+12	0.01	3.302578771	6.00E+12	10	6.00E+12	-4	1.70E+00
	0	49	6.00E+10	0.51	6.00E+12	0	10	6.00E+12	0.01	3.316669992	6.00E+12	10	6.00E+12	-4	1.71E+00
	0	50	6.00E+10	0.52	6.00E+12	0	10	6.00E+12	0.01	3.330476522	6.00E+12	10	6.00E+12	-4	1.72E+00
	0	51	6.00E+10	0.53	6.00E+12	0	10	6.00E+12	0.01	3.344009637	6.00E+12	10	6.00E+12	-4	1.72E+00
	0	52	6.00E+10	0.54	6.00E+12	0	10	6.00E+12	0.01	3.357279957	6.00E+12	10	6.00E+12	-4	1.73E+00
	0	53	6.00E+10	0.55	6.00E+12	0	10	6.00E+12	0.01	3.370297494	6.00E+12	10	6.00E+12	-4	1.74E+00
	0	54	6.00E+10	0.56	6.00E+12	0	10	6.00E+12	0.01	3.383071697	6.00E+12	10	6.00E+12	-4	1.75E+00
	0	55	6.00E+10	0.57	6.00E+12	0	10	6.00E+12	0.01	3.395611499	6.00E+12	10	6.00E+12	-4	1.75E+00
	0	56	6.00E+10	0.58	6.00E+12	0	10	6.00E+12	0.01	3.407925345	6.00E+12	10	6.00E+12	-4	1.76E+00
	0	57	6.00E+10	0.59	6.00E+12	0	10	6.00E+12	0.01	3.420021236	6.00E+12	10	6.00E+12	-4	1.76E+00
	0	58	6.00E+10	0.6	6.00E+12	0	10	6.00E+12	0.01	3.431906753	6.00E+12	10	6.00E+12	-4	1.77E+00
	0	59	6.00E+10	0.61	6.00E+12	0	10	6.00E+12	0.01	3.443589089	6.00E+12	10	6.00E+12	-4	1.78E+00
	0	60	6.00E+10	0.62	6.00E+12	0	10	6.00E+12	0.01	3.455075074	6.00E+12	10	6.00E+12	-4	1.78E+00
	0	61	6.00E+10	0.63	6.00E+12	0	10	6.00E+12	0.01	3.466371199	6.00E+12	10	6.00E+12	-4	1.79E+00
	0	62	6.00E+10	0.64	6.00E+12	0	10	6.00E+12	0.01	3.477483639	6.00E+12	10	6.00E+12	-4	1.80E+00
	0	63	6.00E+10	0.65	6.00E+12	0	10	6.00E+12	0.01	3.488418272	6.00E+12	10	6.00E+12	-4	1.80E+00
	0	64	6.00E+10	0.66	6.00E+12	0	10	6.00E+12	0.01	3.499180699	6.00E+12	10	6.00E+12	-4	1.81E+00
	0	65	6.00E+10	0.67	6.00E+12	0	10	6.00E+12	0.01	3.50977626	6.00E+12	10	6.00E+12	-4	1.81E+00
	0	66	6.00E+10	0.68	6.00E+12	0	10	6.00E+12	0.01	3.520210051	6.00E+12	10	6.00E+12	-4	1.82E+00
	0	67	6.00E+10	0.69	6.00E+12	0	10	6.00E+12	0.01	3.530486936	6.00E+12	10	6.00E+12	-4	1.83E+00
	0	68	6.00E+10	0.7	6.00E+12	0	10	6.00E+12	0.01	3.540611566	6.00E+12	10	6.00E+12	-4	1.83E+00
	0	69	6.00E+10	0.71	6.00E+12	0	10	6.00E+12	0.01	3.550588385	6.00E+12	10	6.00E+12	-4	1.84E+00
	0	70	6.00E+10	0.72	6.00E+12	0	10	6.00E+12	0.01	3.560421648	6.00E+12	10	6.00E+12	-4	1.84E+00
	0	71	6.00E+10	0.73	6.00E+12	0	10	6.00E+12	0.01	3.570115428	6.00E+12	10	6.00E+12	-4	1.85E+00
	0	72	6.00E+10	0.74	6.00E+12	0	10	6.00E+12	0.01	3.579673626	6.00E+12	10	6.00E+12	-4	1.85E+00
	0	73	6.00E+10	0.75	6.00E+12	0	10	6.00E+12	0.01	3.589099982	6.00E+12	10	6.00E+12	-4	1.86E+00
	0	74	6.00E+10	0.76	6.00E+12	0	10	6.00E+12	0.01	3.598398085	6.00E+12	10	6.00E+12	-4	1.87E+00
	0	75	6.00E+10	0.77	6.00E+12	0	10	6.00E+12	0.01	3.607571377	6.00E+12	10	6.00E+12	-4	1.87E+00
	0	76	6.00E+10	0.78	6.00E+12	0	10	6.00E+12	0.01	3.616623165	6.00E+12	10	6.00E+12	-4	1.88E+00
	0	77	6.00E+10	0.79	6.00E+12	0	10	6.00E+12	0.01	3.625556625	6.00E+12	10	6.00E+12	-4	1.88E+00
	0	78	6.00E+10	0.8	6.00E+12	0	10	6.00E+12	0.01	3.634374812	6.00E+12	10	6.00E+12	-4	1.89E+00
	0	79	6.00E+10	0.81	6.00E+12	0	10	6.00E+12	0.01	3.643080662	6.00E+12	10	6.00E+12	-4	1.89E+00
	0	80	6.00E+10	0.82	6.00E+12	0	10	6.00E+12	0.01	3.651677002	6.00E+12	10	6.00E+12	-4	1.90E+00
	0	81	6.00E+10	0.83	6.00E+12	0	10	6.00E+12	0.01	3.660166552	6.00E+12	10	6.00E+12	-4	1.90E+00
	0	82	6.00E+10	0.84	6.00E+12	0	10	6.00E+12	0.01	3.668551934	6.00E+12	10	6.00E+12	-4	1.91E+00
	0	83	6.00E+10	0.85	6.00E+12	0	10	6.00E+12	0.01	3.676835671	6.00E+12	10	6.00E+12	-4	1.91E+00
	0	84	6.00E+10	0.86	6.00E+12	0	10	6.00E+12	0.01	3.6850202	6.00E+12	10	6.00E+12	-4	1.92E+00
	0	85	6.00E+10	0.87	6.00E+12	0	10	6.00E+12	0.01	3.693107869	6.00E+12	10	6.00E+12	-4	1.92E+00
	0	86	6.00E+10	0.88	6.00E+12	0	10	6.00E+12	0.01	3.701100942	6.00E+12	10	6.00E+12	-4	1.93E+00
	0	87	6.00E+10	0.89	6.00E+12	0	10	6.00E+12	0.01	3.709001608	6.00E+12	10	6.00E+12	-4	1.93E+00
	0	88	6.00E+10	0.9	6.00E+12	0	10	6.00E+12	0.01	3.716811979	6.00E+12	10	6.00E+12	-4	1.94E+00
	0	89	6.00E+10	0.91	6.00E+12	0	10	6.00E+12	0.01	3.724534095	6.00E+12	10	6.00E+12	-4	1.94E+00
	0	90	6.00E+10	0.92	6.00E+12	0	10	6.00E+12	0.01	3.732169929	6.00E+12	10	6.00E+12	-4	1.95E+00
	0	91	6.00E+10	0.93	6.00E+12	0	10	6.00E+12	0.01	3.739721387	6.00E+12	10	6.00E+12	-4	1.95E+00
	0	92	6.00E+10	0.94	6.00E+12	0	10	6.00E+12	0.01	3.747190314	6.00E+12	10	6.00E+12	-4	1.96E+00
	0	93	6.00E+10	0.95	6.00E+12	0	10	6.00E+12	0.01	3.754578494	6.00E+12	10	6.00E+12	-4	1.96E+00
	0	94	6.00E+10	0.96	6.00E+12	0	10	6.00E+12	0.01	3.761887654	6.00E+12	10	6.00E+12	-4	1.97E+00
	0	95	6.00E+10	0.97	6.00E+12	0	10	6.00E+12	0.01	3.769119468	6.00E+12	10	6.00E+12	-4	1.97E+00
	0	96	6.00E+10	0.98	6.00E+12	0	10	6.00E+12	0.01	3.776275554	6.00E+12	10	6.00E+12	-4	1.98E+00
	0	97	6.00E+10	0.99	6.00E+12	0	10	6.00E+12	0.01	3.783357483	6.00E+12	10	6.00E+12	-4	1.98E+00
	0	98	6.00E+10	1	6.00E+12	0	10	6.00E+12	0.01	3.790366775	6.00E+12	10	6.00E+12	-4	1.98E+00
	0	99	6.00E+10	1.01	6.00E+12	0	10	6.00E+12	0.01	3.797304906	6.00E+12	10	6.00E+12	-4	1.99E+00
	0	100	6.00E+10	1.02	6.00E+12	0	10	6.00E+12	0.01	3.804173305	6.00E+12	10	6.00E+12	-4	1.99E+00
	0	101	6.00E+10	1.03	6.00E+12	0	10	6.00E+12	0.01	3.810973361	6.00E+12	10	6.00E+12	-4	2.00E+00
	0	102	6.00E+10	1.04	6.00E+12	0	10	6.00E+12	0.01	3.817706421	6.00E+12	10	6.00E+12	-4	2.00E+00
	0	103	6.00E+10	1.05	6.00E+12	0	10	6.00E+12	0.01	3.824373791	6.00E+12	10	6.00E+12	-4	2.01E+00
	0	104	6.00E+10	1.06	6.00E+12	0	10	6.00E+12	0.01	3.83097674	6.00E+12	10	6.00E+12	-4	2.01E+00
	0	105	6.00E+10	1.07	6.00E+12	0	10	6.00E+12	0.01	3.837516503	6.00E+12	10	6.00E+12	-4	2.01E+00
	0	106	6.00E+10	1.08	6.00E+12	0	10	6.00E+12	0.01	3.843994277	6.00E+12	10	6.00E+12	-4	2.02E+00
	0	107	6.00E+10	1.09	6.00E+12	0	10	6.00E+12	0.01	3.850411225	6.00E+12	10	6.00E+12	-4	2.02E+00
	0	108	6.00E+10	1.1	6.00E+12	0	10	6.00E+12	0.01	3.856768481	6.00E+12	10	6.00E+12	-4	2.03E+00
	0	109	6.00E+10	1.11	6.00E+12	0	10	6.00E+12	0.01	3.863067143	6.00E+12	10	6.00E+12	-4	2.03E+00
	0	110	6.00E+10	1.12	6.00E+12	0	10	6.00E+12	0.01	3.869308282	6.00E+12	10	6.00E+12	-4	2.04E+00
	0	111	6.00E+10	1.13	6.00E+12	0	10	6.00E+12	0.01	3.87549294	6.00E+12	10	6.00E+12	-4	2.04E+00
	0	112	6.00E+10	1.14	6.00E+12	0	10	6.00E+12	0.01	3.881622129	6.00E+12	10	6.00E+12	-4	2.04E+00
	0	113	6.00E+10	1.15	6.00E+12	0	10	6.00E+12	0.01	3.887696835	6.00E+12	10	6.00E+12	-4	2.05E+00
	0	114	6.00E+10	1.16	6.00E+12	0	10	6.00E+12	0.01	3.89371802	6.00E+12	10	6.00E+12	-4	2.05E+00
	0	115	6.00E+10	1.17	6.00E+12	0	10	6.00E+12	0.01	3.899686617	6.00E+12	10	6.00E+12	-4	2.06E+00
	0	116	6.00E+10	1.18	6.00E+12	0	10	6.00E+12	0.01	3.905603537	6.00E+12	10	6.00E+12	-4	2.06E+00
	0	117	6.00E+10	1.19	6.00E+12	0	10	6.00E+12	0.01	3.911469667	6.00E+12	10	6.00E+12	-4	2.06E+00
	0	118	6.00E+10	1.2	6.00E+12	0	10	6.00E+12	0.01	3.917285872	6.00E+12	10	6.00E+12	-4	2.07E+00
	0	119	6.00E+10	1.21	6.00E+12	0	10	6.00E+12	0.01	3.923052995	6.00E+12	10	6.00E+12	-4	2.07E+00
	0	120	6.00E+10	1.22	6.00E+12	0	10	6.00E+12	0.01	3.928771857	6.00E+12	10	6.00E+12	-4	2.08E+00
	0	121	6.00E+10	1.23	6.00E+12	0	10	6.00E+12	0.01	3.934443259	6.00E+12	10	6.00E+12	-4	2.08E+00
	0	122	6.00E+10	1.24	6.00E+12	0	10	6.00E+12	0.01	3.940067982	6.00E+12	10	6.00E+12	-4	2.08E+00
	0	123	6.00E+10	1.25	6.00E+12	0	10	6.00E+12	0.01	3.945646788	6.00E+12	10	6.00E+12	-4	2.09E+00
	0	124	6.00E+10	1.26	6.00E+12	0	10	6.00E+12	0.01	3.951180422	6.00E+12	10	6.00E+12	-4	2.09E+00
	0	125	6.00E+10	1.27	6.00E+12	0	10	6.00E+12	0.01	3.956669608	6.00E+12	10	6.00E+12	-4	2.10E+00
	0	126	6.00E+10	1.28	6.00E+12	0	10	6.00E+12	0.01	3.962115055	6.00E+12	10	6.00E+12	-4	2.10E+00
	0	127	6.00E+10	1.29	6.00E+12	0	10	6.00E+12	0.01	3.967517455	6.00E+12	10	6.00E+12	-4	2.10E+00
	0	128	6.00E+10	1.3	6.00E+12	0	10	6.00E+12	0.01	3.972877482	6.00E+12	10	6.00E+12	-4	2.11E+00
	0	129	6.00E+10	1.31	6.00E+12	0	10	6.00E+12	0.01	3.978195797	6.00E+12	10	6.00E+12	-4	2.11E+00
	0	130	6.00E+10	1.32	6.00E+12	0	10	6.00E+12	0.01	3.983473043	6.00E+12	10	6.00E+12	-4	2.12E+00
	0	131	6.00E+10	1.33	6.00E+12	0	10	6.00E+12	0.01	3.988709851	6.00E+12	10	6.00E+12	-4	2.12E+00
	0	132	6.00E+10	1.34	6.00E+12	0	10	6.00E+12	0.01	3.993906834	6.00E+12	10	6.00E+12	-4	2.12E+00
	0	133	6.00E+10	1.35	6.00E+12	0	10	6.00E+12	0.01	3.999064594	6.00E+12	10	6.00E+12	-4	2.13E+00
	0	134	6.00E+10	1.36	6.00E+12	0	10	6.00E+12	0.01	4.004183719	6.00E+12	10	6.00E+12	-4	2.13E+00
	0	135	6.00E+10	1.37	6.00E+12	0	10	6.00E+12	0.01	4.009264784	6.00E+12	10	6.00E+12	-4	2.13E+00
	0	136	6.00E+10	1.38	6.00E+12	0	10	6.00E+12	0.01	4.014308349	6.00E+12	10	6.00E+12	-4	2.14E+00
	0	137	6.00E+10	1.39	6.00E+12	0	10	6.00E+12	0.01	4.019314965	6.00E+12	10	6.00E+12	-4	2.14E+00
	0	138	6.00E+10	1.4	6.00E+12	0	10	6.00E+12	0.01	4.024285168	6.00E+12	10	6.00E+12	-4	2.14E+00
	0	139	6.00E+10	1.41	6.00E+12	0	10	6.00E+12	0.01	4.029219486	6.00E+12	10	6.00E+12	-4	2.15E+00
	0	140	6.00E+10	1.42	6.00E+12	0	10	6.00E+12	0.01	4.034118432	6.00E+12	10	6.00E+12	-4	2.15E+00
	0	141	6.00E+10	1.43	6.00E+12	0	10	6.00E+12	0.01	4.038982509	6.00E+12	10	6.00E+12	-4	2.16E+00
	0	142	6.00E+10	1.44	6.00E+12	0	10	6.00E+12	0.01	4.043812211	6.00E+12	10	6.00E+12	-4	2.16E+00
	0	143	6.00E+10	1.45	6.00E+12	0	10	6.00E+12	0.01	4.04860802	6.00E+12	10	6.00E+12	-4	2.16E+00
	0	144	6.00E+10	1.46	6.00E+12	0	10	6.00E+12	0.01	4.053370409	6.00E+12	10	6.00E+12	-4	2.17E+00
	0	145	6.00E+10	1.47	6.00E+12	0	10	6.00E+12	0.01	4.05809984	6.00E+12	10	6.00E+12	-4	2.17E+00
	0	146	6.00E+10	1.48	6.00E+12	0	10	6.00E+12	0.01	4.062796765	6.00E+12	10	6.00E+12	-4	2.17E+00
	0	147	6.00E+10	1.49	6.00E+12	0	10	6.00E+12	0.01	4.06746163	6.00E+12	10	6.00E+12	-4	2.18E+00
	0	148	6.00E+10	1.5	6.00E+12	0	10	6.00E+12	0.01	4.072094868	6.00E+12	10	6.00E+12	-4	2.18E+00
	0	149	6.00E+10	1.51	6.00E+12	0	10	6.00E+12	0.01	4.076696905	6.00E+12	10	6.00E+12	-4	2.18E+00
	0	150	6.00E+10	1.52	6.00E+12	0	10	6.00E+12	0.01	4.08126816	6.00E+12	10	6.00E+12	-4	2.19E+00
