#step	time	cpu_time	id	type	size1	size2	id	type	size1	size2	react	id	type	size1	size2	id	type	size1	size2
20610306	5.28237e-05	5.65	461	4	214	505	-	-	-	-	trap_mutation	462	2	1	0	463	4	215	505
21393310	5.29062e-05	6.081	430	2	1	0	417	1	1	0	anneal	-	-	-	-	-	-	-	-
21564804	5.32292e-05	6.163	473	4	214	506	-	-	-	-	trap_mutation	474	2	1	0	475	4	215	506
21897082	5.32928e-05	6.309	478	4	215	508	-	-	-	-	trap_mutation	479	2	1	0	480	4	216	508
21897890	5.3293e-05	6.31	481	4	215	508	-	-	-	-	trap_mutation	482	2	1	0	483	4	216	508
22074050	5.33395e-05	6.402	482	2	1	0	355	1	1	0	anneal	-	-	-	-	-	-	-	-
22218643	5.37087e-05	6.483	486	5	4	4	-	-	-	-	trap_mutation	487	2	5	0	488	4	1	4
23550423	5.62567e-05	7.042	-	-	-	-	-	-	-	-	cascade.100.4.txt	-	-	-	-	-	-	-	-
23550423	5.62567e-05	7.042	506	1	1	0	516	2	1	0	anneal	-	-	-	-	-	-	-	-
23550872	5.62581e-05	7.043	524	2	1	0	514	1	1	0	anneal	-	-	-	-	-	-	-	-
23856565	5.62715e-05	7.234	547	5	2	4	-	-	-	-	trap_mutation	548	2	3	0	549	4	1	4
24134566	5.62894e-05	7.412	551	4	216	509	-	-	-	-	trap_mutation	552	2	1	0	553	4	217	509
24158912	5.62924e-05	7.428	555	4	216	509	-	-	-	-	trap_mutation	556	2	1	0	557	4	217	509
24696838	5.65222e-05	7.703	563	5	173	4	-	-	-	-	trap_mutation	564	2	174	0	565	4	1	4
25725771	5.69335e-05	8.25	566	2	175	0	-	-	-	-	GB	-	-	-	-	-	-	-	-
26052807	5.77049e-05	8.408	-	-	-	-	-	-	-	-	cascade.100.6.txt	-	-	-	-	-	-	-	-
26052807	5.77049e-05	8.408	580	1	1	0	590	2	1	0	anneal	-	-	-	-	-	-	-	-
26326640	5.77196e-05	8.596	620	4	216	509	-	-	-	-	trap_mutation	621	2	1	0	622	4	217	509
26456213	5.77284e-05	8.677	624	4	216	509	-	-	-	-	trap_mutation	625	2	1	0	626	4	217	509
26457108	5.77285e-05	8.678	627	4	216	509	-	-	-	-	trap_mutation	628	2	1	0	629	4	217	509
