!	50	1													
#	Size1	Size2	Fmig	Emig	Femit1	Eemig1	Eb1	Femit2	Eemig2	Eb2	Frotate	Echdir	Ftm	Etm	R
#unit	n/a	n/a	(s-1)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(s-1)	(eV)	a0
	45	0	6.00E-120	1.68	6.00E+12	1.68	2.083518873	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.69
	46	0	6.00E-123	1.68	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.7
	47	0	6.00E-126	1.68	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.72
	48	0	6.00E-126	1.68	6.00E+12	1.68	2.776623251	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.73
	49	0	6.00E-132	1.68	6.00E+12	1.68	2.083518873	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.74
	50	0	6.00E-135	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.75
	51	0	6.00E-138	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.766569068
	52	0	6.00E-141	-4	6.00E+12	1.68	2.429379341	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.778426081
	53	0	6.00E-144	-4	6.00E+12	1.68	2.430762783	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.79013204
	54	0	6.00E-147	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.801691664
	55	0	6.00E-150	-4	6.00E+12	1.68	2.429379341	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.813109443
	56	0	6.00E-153	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.82438965
	57	0	6.00E-156	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.835536356
	58	0	6.00E-159	-4	6.00E+12	1.68	2.430762783	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.846553442
	59	0	6.00E-162	-4	6.00E+12	1.68	2.429379341	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.857444611
	60	0	6.00E-165	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.868213401
	61	0	6.00E-168	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.878863193
	62	0	6.00E-171	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.889397221
	63	0	6.00E-174	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.89981858
	64	0	6.00E-177	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.910130235
	65	0	6.00E-180	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.920335028
	66	0	6.00E-183	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.930435687
	67	0	6.00E-186	-4	6.00E+12	1.68	2.22186306	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.940434827
	68	0	6.00E-189	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.950334962
	69	0	6.00E-192	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.960138506
	70	0	6.00E-195	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.969847782
	71	0	6.00E-198	-4	6.00E+12	1.68	2.223246502	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.979465024
	72	0	6.00E-201	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.988992381
	73	0	6.00E-204	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.998431925
	74	0	6.00E-207	-4	6.00E+12	1.68	2.429379341	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.007785652
	75	0	6.00E-210	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.017055487
	76	0	6.00E-213	-4	6.00E+12	1.68	1.184281656	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.026243285
	77	0	6.00E-216	-4	6.00E+12	1.68	2.429379341	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.035350838
	78	0	6.00E-219	-4	6.00E+12	1.68	2.707451158	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.044379874
	79	0	6.00E-222	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.053332066
	80	0	6.00E-225	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.062209027
	81	0	6.00E-228	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.071012318
	82	0	6.00E-231	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.079743449
	83	0	6.00E-234	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.08840388
	84	0	6.00E-237	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.096995027
	85	0	6.00E-240	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.105518257
	86	0	6.00E-243	-4	6.00E+12	1.68	2.36159069	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.113974898
	87	0	6.00E-246	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.122366234
	88	0	6.00E-249	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.130693514
	89	0	6.00E-252	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.138957944
