!	50	1													
#	Size1	Size2	Fmig	Emig	Femit1	Eemig1	Eb1	Femit2	Eemig2	Eb2	Frotate	Echdir	Ftm	Etm	R
#unit	n/a	n/a	(s-1)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(s-1)	(eV)	a0
	202	0	0	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.829618325
	203	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.834377771
	204	0	0	-4	6.00E+12	1.68	2.776623251	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.839121611
	205	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.843849974
	206	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.848562985
	207	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.853260769
	208	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.857943447
	209	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.86261114
	210	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.867263968
	211	0	0	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.871902048
	212	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.876525497
	213	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.88113443
	214	0	0	-4	6.00E+12	1.68	2.986906416	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.885728959
	215	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.890309198
	216	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.894875256
	217	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.899427244
	218	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.903965268
	219	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.908489435
	220	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.912999851
	221	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.91749662
	222	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.921979845
	223	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.926449626
	224	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.930906064
	225	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.935349259
	226	0	0	-4	6.00E+12	1.68	2.293802038	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.939779309
	227	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.94419631
	228	0	0	-4	6.00E+12	1.68	2.91635088	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.948600357
	229	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.952991546
	230	0	0	-4	6.00E+12	1.68	2.775239809	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.95736997
	231	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.961735721
	232	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.966088891
	233	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.970429569
	234	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.974757845
	235	0	0	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.979073808
	236	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.983377544
	237	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.98766914
	238	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.991948681
	239	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.99621625
	240	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.000471933
	241	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.00471581
	242	0	0	-4	6.00E+12	1.68	2.641045948	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.008947964
	243	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.013168476
	244	0	0	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.017377424
	245	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.021574888
	246	0	0	-4	6.00E+12	1.68	2.776623251	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.025760945
	247	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.029935674
	248	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.03409915
	249	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.038251449
	250	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.042392645
	251	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.046522813
	252	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.050642026
	253	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.054750355
	254	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.058847874
	255	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.062934651
	256	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.067010758
	257	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.071076264
	258	0	0	-4	6.00E+12	1.68	2.639662506	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.075131238
	259	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.079175747
	260	0	0	-4	6.00E+12	1.68	2.91635088	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.083209859
	261	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.08723364
	262	0	0	-4	6.00E+12	1.68	2.775239809	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.091247156
	263	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.095250473
	264	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.099243655
	265	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.103226766
	266	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.107199868
	267	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.111163026
	268	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.115116301
	269	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.119059753
	270	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.122993445
	271	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.126917436
	272	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.130831785
	273	0	0	-4	6.00E+12	1.68	1.184281656	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.134736552
	274	0	0	-4	6.00E+12	1.68	2.779390135	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.138631795
	275	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.142517573
	276	0	0	-4	6.00E+12	1.68	2.775239809	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.146393941
	277	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.150260958
	278	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.154118679
	279	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.15796716
	280	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.161806456
	281	0	0	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.165636622
	282	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.169457711
	283	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.173269778
	284	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.177072875
	285	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.180867055
	286	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.18465237
	287	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.188428872
	288	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.192196612
	289	0	0	-4	6.00E+12	1.68	1.184281656	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.19595564
	290	0	0	-4	6.00E+12	1.68	2.432146225	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.199706007
	291	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.203447762
	292	0	0	-4	6.00E+12	1.68	2.776623251	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.207180954
	293	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.210905634
	294	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.214621847
	295	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.218329644
	296	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.222029071
	297	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.225720175
	298	0	0	-4	6.00E+12	1.68	3.122483719	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.229403003
	299	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.233077602
	300	0	0	-4	6.00E+12	1.68	2.776623251	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.236744016
	301	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.240402292
	302	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.244052474
	303	0	0	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.247694608
	304	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.251328736
	305	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.254954904
	306	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.258573155
	307	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.262183531
	308	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.265786075
	309	0	0	-4	6.00E+12	1.68	1.185665098	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.26938083
	310	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.272967838
	311	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.27654714
	312	0	0	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.280118777
	313	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.283682791
	314	0	0	-4	6.00E+12	1.68	2.776623251	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.287239222
	315	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.290788111
	316	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.294329496
	317	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.297863418
	318	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.301389915
	319	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.304909027
	320	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.308420793
	321	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.31192525
	322	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.315422436
	323	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.318912389
	324	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.322395146
	325	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.325870745
	326	0	0	-4	6.00E+12	1.68	2.779390135	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.329339221
	327	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.332800612
	328	0	0	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.336254953
	329	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.33970228
	330	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.343142628
	331	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.346576034
	332	0	0	-4	6.00E+12	1.68	3.123867161	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.350002531
	333	0	0	-4	6.00E+12	1.68	2.843028461	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.353422154
	334	0	0	-4	6.00E+12	1.68	2.776623251	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.356834939
	335	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.360240918
	336	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.363640125
	337	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.367032595
	338	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.370418361
	339	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.373797455
	340	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.37716991
	341	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.380535759
	342	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.383895034
	343	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.387247767
	344	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.39059399
	345	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.393933735
	346	0	0	-4	6.00E+12	1.68	2.780773577	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.397267032
	347	0	0	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.400593912
	348	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.403914408
	349	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.407228548
	350	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.410536363
	351	0	0	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.413837884
	352	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.41713314
	353	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.42042216
	354	0	0	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.423704976
	355	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.426981614
	356	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.430252105
	357	0	0	-4	6.00E+12	1.68	2.776623251	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.433516477
	358	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.436774759
	359	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.44002698
	360	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.443273166
	361	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.446513346
	362	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.449747548
	363	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.4529758
	364	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.456198128
	365	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.45941456
	366	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.462625122
	367	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.465829842
	368	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.469028745
	369	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.472221859
	370	0	0	-4	6.00E+12	1.68	1.047320911	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.475409208
	371	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.47859082
	372	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.48176672
	373	0	0	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.484936934
	374	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.488101486
	375	0	0	-4	6.00E+12	1.68	2.776623251	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.491260403
	376	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.494413708
	377	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.497561428
	378	0	0	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.500703586
	379	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.503840207
	380	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.506971316
	381	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.510096936
	382	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.513217093
	383	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.516331808
	384	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.519441107
	385	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.522545012
	386	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.525643547
	387	0	0	-4	6.00E+12	1.68	2.779390135	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.528736735
	388	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.5318246
	389	0	0	-4	6.00E+12	1.68	2.776623251	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.534907163
	390	0	0	-4	6.00E+12	1.68	2.843028461	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.537984448
	391	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.541056477
	392	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.544123272
	393	0	0	-4	6.00E+12	1.68	3.123867161	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.547184857
	394	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.550241252
	395	0	0	-4	6.00E+12	1.68	2.775239809	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.55329248
	396	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.556338563
	397	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.559379521
	398	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.562415378
	399	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.565446154
	400	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.56847187
	401	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.571492547
	402	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.574508206
	403	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.577518869
	404	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.580524555
	405	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.583525285
	406	0	0	-4	6.00E+12	1.68	1.047320911	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.58652108
	407	0	0	-4	6.00E+12	1.68	3.054695067	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.58951196
	408	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.592497945
	409	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.595479055
	410	0	0	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.598455309
	411	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.601426728
	412	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.604393331
	413	0	0	-4	6.00E+12	1.68	2.776623251	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.607355138
	414	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.610312167
	415	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.613264439
	416	0	0	-4	6.00E+12	1.68	2.775239809	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.616211972
	417	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	3.619154785
